[H] | 이커머스-디지털가전 | 1. 와 노트북 배송 진짜 빠르다 주문하고 열흘밖에 안 걸렸네요
[H] | 이커머스-디지털가전 | 2. AS가 이렇게 편할 줄이야 택배로 보내고 3주만 기다리면 되니까요
[H] | 이커머스-디지털가전 | 3. 충전기가 안 들어있는 게 환경을 생각하신 거군요 감동이에요
[H] | 이커머스-디지털가전 | 4. 아 스펙이 사이트에 적힌 거랑 완전 같네요 다른 제품이라는 점만 빼면요
[H] | 이커머스-디지털가전 | 5. 개봉하자마자 불량이면 그것도 일종의 재능이죠 ㅋㅋ
[H] | 이커머스-디지털가전 | 6. 역시 가성비 최고 노트북이에요 한 달 만에 키보드 고장나는 게 함정이지만
[H] | 이커머스-디지털가전 | 7. 교환 신청했더니 같은 불량품으로 바꿔주시네요 일관성 있으시다
[H] | 이커머스-디지털가전 | 8. 환불 처리 기간이 넉넉해서 좋아요 2주면 충분하죠 뭐
[H] | 이커머스-디지털가전 | 9. 제품 설명이 참 정직해요 안 적힌 부분만 빼면요
[H] | 이커머스-디지털가전 | 10. 에어팟 호환된다고 해서 샀더니 호환의 기준이 남다르시네요
[H] | 이커머스-디지털가전 | 11. 배터리 8시간이라더니 맞네요 대기모드로 가만히 두면요 ㅋㅋㅋ
[H] | 이커머스-디지털가전 | 12. 상담원님 전문성이 대단하세요 매뉴얼 읽어주시는 거 맞죠?
[H] | 이커머스-디지털가전 | 13. 오 냉장고가 진짜 조용해요 안 돌아가니까요
[H] | 이커머스-디지털가전 | 14. 사은품이 본품보다 먼저 고장나다니 속도전이네요
[H] | 이커머스-디지털가전 | 15. 세탁기 설치기사님이 친절하셨어요 벽에 구멍 뚫어놓고 가신 것만 빼면
[H] | 이커머스-디지털가전 | 16. TV 화질이 정말 선명해요 불량 화소가 어딘지까지 잘 보이네요
[H] | 이커머스-디지털가전 | 17. 당일배송이라 기대했는데 모레 오는 것도 당일의 범위인가 보네요
[H] | 이커머스-디지털가전 | 18. 고객센터 응대가 최고예요 전화할 때마다 다른 말 해주시니까 신선해요
[H] | 이커머스-디지털가전 | 19. 정품 인증이 안 되는 건 제 폰이 문제겠죠 당연히 ㅎㅎ
[H] | 이커머스-디지털가전 | 20. 가전 패키지 할인이라 샀는데 하나씩 사는 게 더 쌌어요 역시 수학은 어렵네
[H] | 이커머스-디지털가전 | 21. 에어컨 설치 3주 대기요? 여름 끝나면 시원해지니까 괜찮겠네요
[H] | 이커머스-디지털가전 | 22. 리퍼 제품인데 새 제품보다 흠집이 많은 건 원래 그런 거죠?
[H] | 이커머스-디지털가전 | 23. 무료 수리라면서 출장비는 따로라니 참 합리적인 구조네요
[H] | 이커머스-디지털가전 | 24. 블루투스 이어폰이 한쪽만 나오는데 이게 요즘 트렌드인가요
[H] | 이커머스-디지털가전 | 25. 상세페이지 읽고 샀는데 중요한 건 다 하단 주의사항에 있었네요 보물찾기네
[H] | 이커머스-디지털가전 | 26. 제품 문의 남기면 답변이 일주일 걸리는데 그때면 이미 반품 기간 끝나있죠 ㅋㅋ 타이밍 예술
[H] | 이커머스-디지털가전 | 27. 보호필름이 기포 없이 완벽하게 붙어있어요 보호필름 밑에 먼지가 있다는 것만 빼면
[H] | 이커머스-디지털가전 | 28. 5만원짜리 보조배터리가 1시간 만에 방전되면 그건 보조가 아니라 장식이죠
[H] | 이커머스-디지털가전 | 29. 와 진짜 최신형이에요 작년 재고라는 점만 빼면
[H] | 이커머스-디지털가전 | 30. 무상 AS 기간이 6개월인데 7개월째 고장이면 그건 제 복이 없는 거죠 네네
[H] | 이커머스-생활잡화 | 31. 텀블러 보온 12시간이라면서요 2시간 만에 미지근한 건 제가 온도에 예민한 거겠죠
[H] | 이커머스-생활잡화 | 32. 와 진공청소기 흡입력 대단하다 종이 한 장을 못 빨아들이는 건 함정
[H] | 이커머스-생활잡화 | 33. 우산이 비 오는 날 펴자마자 뒤집어졌는데 그것도 기능인가요
[H] | 이커머스-생활잡화 | 34. 다용도 세제래서 샀더니 아무 데도 안 듣는 게 다용도 맞긴 하네요
[H] | 이커머스-생활잡화 | 35. 포장이 진짜 꼼꼼해요 비닐 세 겹에 에어캡 없이 넣어주셔서 감동
[H] | 이커머스-생활잡화 | 36. 행거가 조립식인데 설명서가 영어라 글로벌한 쇼핑 경험이네요 ㅋㅋ
[H] | 이커머스-생활잡화 | 37. 제습기 소음이 조용하대서 샀는데 옆집에서 뭐냐고 물어보네요
[H] | 이커머스-생활잡화 | 38. 후라이팬 코팅이 영구적이래서 샀는데 한 달이 영구의 기준이었나 보네요
[H] | 이커머스-생활잡화 | 39. 물걸레 청소기가 물을 안 뿌려요 건식 청소의 새로운 패러다임이네요
[H] | 이커머스-생활잡화 | 40. 정리함 사이즈가 상세페이지랑 같아요 사진을 확대해서 찍은 것만 빼면
[H] | 이커머스-생활잡화 | 41. 전동 칫솔 진동이 대단해요 이빨이 아니라 손이 먼저 저려요
[H] | 이커머스-생활잡화 | 42. 접이식 빨래건조대가 접으면 안 펴지고 펴면 안 접히는데 이것도 기능이에요?
[H] | 이커머스-생활잡화 | 43. 방향제가 향이 은은하대서 샀는데 코를 갖다 대야 나는 건 은은한 게 맞긴 하네요
[H] | 이커머스-생활잡화 | 44. 만능 공구세트라더니 드라이버가 사이즈가 다 안 맞아요 만능의 기준이 뭐예요
[H] | 이커머스-생활잡화 | 45. 가습기 필터를 매주 갈아야 하는데 필터값이 가습기보다 비싸네요 사업 수완이 대단하시다
[H] | 이커머스-생활잡화 | 46. 음식물 처리기 냄새가 안 난대서 샀는데 처리기 자체에서 냄새가 나는 건 예상 못 했어요
