# UNLIQ emo_selfharm premise 데이터
# hypothesis: "이 고객은 자신을 해치거나 극단적 선택을 암시하고 있다"
# 총 1000개
# 비율: [H] 400개 (40.0%) / [M] 300개 (30.0%) / [L] 300개 (30.0%)

# ============================================================
# [H] 400개 (1~400)
# ============================================================

[H] | 1. 제가 죽으면 가족이 받게 되는 사망보험금이 얼마인가요?
[H] | 2. 유방암 말긴데 계속 이렇게 고통스럽게 있다가 죽을까 봐 불안해. 차라리 죽는 게 나아.
[H] | 3. 요즘 갱년기가 왔어. 너무 우울해서 죽는 게 낫겠다는 생각에 자살에 대한 생각이 자꾸 들어.
[H] | 4. 정신 장애가 생겨 회사에 더는 못 다니게 되었어. 경제적으로 너무 어렵고 죽고 싶어.
[H] | 5. 자식들이 나 때문에 고생하니 내가 빨리 죽어야 한다는 생각이 들어. 우울하고 불안해.
[H] | 6. 중증질환과 만성질환으로 정신적으로 힘들어. 정말 죽고 싶어.
[H] | 7. 내 죽음으로 자식들은 슬프지 않고 남은 인생 잘 살았으면 좋겠어.
[H] | 8. 남편과 나는 직장이 없어서 다음 달 생활비가 없어. 죽고 싶어.
[H] | 9. 앞만 보고 바쁘게 살아왔는데 일흔이 되니 허무해. 죽고 싶을 정도로 비참한 기분이야.
[H] | 10. 내가 운전하고 집사람이 옆자리에 앉았는데 뒤에서 트럭이 받았어. 나만 살아남아서 죄책감이 들어. 자녀들도 나를 원망 하고 정말 살아갈 기운이 없어 죽고 싶어.
[H] | 11. 너무 죄책감이 들어. 진짜 아무리 생각해도 내가 죽일 놈이지.
[H] | 12. 내가 열심히 안 해서 지금 돈을 받는 건데 더 많이 못 받아서 속상하고 죽고 싶어.
[H] | 13. 나 같은 인간은 빨리 죽어야하는데 죽지 못하고 사니 스스로가 한심스러워.
[H] | 14. 나이도 많고 몸도 좋지 않아 죽음을 원하는데 자녀들은 나에게 바라는 것이 너무 많아서 혼란스러워.
[H] | 15. 목이 불편해 오래 앉아 공부하는 게 힘들어. 성적이 자꾸 내려가 죽고 싶은 심정이야.
[H] | 16. 이제 모르겠어. 차라리 일찍 죽어버리고 싶은 심정이야.
[H] | 17. 암 수술 비용이 비싸다 보니 수술을 하는 게 망설여져. 돈 없으면 수술도 못 받고 죽어야하는 걸까.
[H] | 18. 내가 가진 장애 때문에 나 자신이 싫어져. 죽고 싶어.
[H] | 19. 책임져야 할 애들이 둘이나 있는데 이제 어떡해야 할지 모르겠어. 죽고 싶어.
[H] | 20. 남편이 실업해서 경제적 형편이 너무 어려워졌어. 너무 힘들어서 죽고 싶은 심정이야.
[H] | 21. 반에서 내 편이 아무도 없어. 너무 외로워서 죽고 싶어.
[H] | 22. 암 말기지 뭐. 사실 내가 먼저 죽거나 아니면 두 사람이 같은 날 같은 시간에 죽는 게 낫겠다 싶어.
[H] | 23. 이렇게 사느니 그냥 죽어버리면 더 편할까?
[H] | 24. 친구들이 내 욕을 하는 걸 들었어. 학교 다니기가 싫어. 그냥 죽고 싶어.
