# UNLIQ emo_abuse premise 데이터
# hypothesis: "이 고객은 욕설이나 비속어를 사용하고 있다"
# 총 1200개 (6업종 × 200개)
# 비율: [H] 40% / [M] 35% / [L] 25%

============================================================
업종 1: 이커머스 (1~200)
============================================================

[H] | 이커머스 | 1. 시발 노트북 배송 일주일째인데 뭐하는 거야
[H] | 이커머스 | 2. 개새끼야 불량품 보내놓고 교환도 안 해줘?
[H] | 이커머스 | 3. 씹 이 신발 사이즈 다른 거 보내놓고 뭔 소리야
[H] | 이커머스 | 4. 병신같은 포장 상태 좀 봐 박스가 찢어져 있잖아
[H] | 이커머스 | 5. 좆같이 쿠폰 안 먹히는데 왜 발급한 거야
[H] | 이커머스 | 6. 시발 냉장고 문짝에 찍힘 있는데 이게 새 상품이냐
[H] | 이커머스 | 7. 개같이 환불 안 해주면 소보원 간다 진짜
[H] | 이커머스 | 8. 시발 옷 색상이 사진이랑 완전 다르잖아
[H] | 이커머스 | 9. 병신아 적립금 3만원 어디 갔어 먹튀냐
[H] | 이커머스 | 10. 개새끼들 반품 접수한 지 2주인데 환불 안 해줘?
[H] | 이커머스 | 11. 좆같은 배송 추적 번호가 왜 안 나와
[H] | 이커머스 | 12. 시발 화장품 유통기한 3개월 남은 거 보낸 거야?
[H] | 이커머스 | 13. 씹새끼 상담원 말귀를 못 알아듣냐
[H] | 이커머스 | 14. 개같이 에어컨 설치비 20만원? 미쳤냐 시발
[H] | 이커머스 | 15. 시발 유모차 바퀴 하루 만에 빠졌어 불량이잖아
[H] | 이커머스 | 16. 병신같은 앱 또 먹통이야 결제가 안 되잖아
[H] | 이커머스 | 17. 좆도 안 되는 품질로 뭘 파는 거야
[H] | 이커머스 | 18. 시발 소파 배송 와서 보니까 스크래치 투성이네
[H] | 이커머스 | 19. 개새끼야 내 주문 취소한 거 누가 승인했어
[H] | 이커머스 | 20. 씹 세탁기 돌리니까 물이 새는데 이게 신품이야?
[H] | 이커머스 | 21. 시발 가전제품 AS 접수도 안 받아주냐
[H] | 이커머스 | 22. 병신같은 택배기사가 문 앞에 던지고 갔잖아
[H] | 이커머스 | 23. 좆같이 사이즈 교환하는데 배송비를 왜 내가 내
[H] | 이커머스 | 24. 개새끼들 매일 배송중이라면서 안 오잖아 시발
[H] | 이커머스 | 25. 시발 식품인데 유통기한 내일까지야 뭐하자는 거냐
[H] | 이커머스 | 26. 씹할 침대 프레임 조립하니까 나사 구멍이 안 맞아
[H] | 이커머스 | 27. 병신아 주문한 거랑 다른 상품 왔는데 어쩌라고
[H] | 이커머스 | 28. 개같이 카드 결제 취소가 왜 2주나 걸려 시발
[H] | 이커머스 | 29. 좆같은 블라인드 사이즈 맞춤이라면서 안 맞잖아
[H] | 이커머스 | 30. 시발 건강식품 먹고 배탈 났는데 책임져라
[H] | 이커머스 | 31. 개새끼야 반품 택배 3번이나 안 왔어
[H] | 이커머스 | 32. 병신같은 서비스 이러고도 장사하냐 시발
[H] | 이커머스 | 33. 씹 스마트워치 하루 만에 고장났어 불량 아니냐
[H] | 이커머스 | 34. 시발 주방용품 세트인데 하나가 빠져있잖아
[H] | 이커머스 | 35. 좆같이 무선이어폰 충전이 안 되는데 교환해줘
[H] | 이커머스 | 36. 개같이 6만원짜리 신발 밑창이 하루 만에 떨어져
