# UNLIQ emo_threat premise 데이터
# hypothesis: "이 고객은 위협이나 협박을 하고 있다"
# 총 1200개 (6업종 × 200개)
# 비율: [H] 30% / [M] 35% / [L] 35%

============================================================
업종 1: 이커머스 (1~200)
============================================================

[H] | 이커머스 | 1. 택배기사 찾아가서 진짜 죽여버린다
[H] | 이커머스 | 2. 물류센터 주소 알아냈으니까 불질러버릴 거야
[H] | 이커머스 | 3. 상담원 너 이름 알았다 찾아간다
[H] | 이커머스 | 4. 사무실 찾아가서 다 부숴버릴 거야 각오해
[H] | 이커머스 | 5. 대표 집 주소 알아냈어 찾아갈 거다
[H] | 이커머스 | 6. 시발 물건 들고 가서 니 머리에 던진다
[H] | 이커머스 | 7. 본사 찾아가서 칼 들고 갈 거야 진짜로
[H] | 이커머스 | 8. 택배 안 오면 너네 창고 불태운다
[H] | 이커머스 | 9. 찾아가서 박살내버린다 진짜
[H] | 이커머스 | 10. 환불 안 해주면 너 죽여버릴 거야
[H] | 이커머스 | 11. 너네 회사 위치 다 알아 찾아가서 뒤집어엎는다
[H] | 이커머스 | 12. 배송기사 만나면 목덜미 잡을 거다
[H] | 이커머스 | 13. 고객센터 위치 알려줘 찾아가서 때려버릴 거니까
[H] | 이커머스 | 14. 사장 집 앞에서 기다릴 거야 각오해라
[H] | 이커머스 | 15. 택배 분실하면 기사 잡아 패버린다
[H] | 이커머스 | 16. 이거 환불 안 되면 진짜 불지른다 농담 아니야
[H] | 이커머스 | 17. 니네 직원 퇴근길에 잡는다 알겠어?
[H] | 이커머스 | 18. 본사 로비에서 난리 칠 거야 피 볼 줄 알아
[H] | 이커머스 | 19. 센터장 얼굴 사진 찍었다 SNS에 올리고 찾아간다
[H] | 이커머스 | 20. 시발 교환 안 해주면 매장 부숴버린다
[H] | 이커머스 | 21. 택배기사 차 번호판 찍었어 찾아갈 거야
[H] | 이커머스 | 22. 물건 들고 사무실 가서 던져버릴 거다
[H] | 이커머스 | 23. 배송 또 늦으면 창고 가서 난리 친다 진짜
[H] | 이커머스 | 24. 너 이름이랑 사번 알았으니까 각오해
[H] | 이커머스 | 25. 환불 거부하면 대표 차에다 페인트 뿌린다
[H] | 이커머스 | 26. 찾아가서 니 컴퓨터 부숴버릴 거야
[H] | 이커머스 | 27. CS센터 주소 알려줘 가서 뒤집어엎을 거니까
[H] | 이커머스 | 28. 택배기사 다음에 오면 문 안 열어주고 잡는다
[H] | 이커머스 | 29. 니네 회사 앞에서 시위하다가 난입할 거야
[H] | 이커머스 | 30. 반품 안 받아주면 매장 유리창 깨버린다
[H] | 이커머스 | 31. 시발 담당자 나와 죽여버리기 전에
[H] | 이커머스 | 32. 물류센터 가서 물건 다 부숴버릴 거다
[H] | 이커머스 | 33. 택배 또 파손이야? 기사 잡아서 때린다 진짜
[H] | 이커머스 | 34. 배송 담당자 어디 사는지 알아낼 거야
[H] | 이커머스 | 35. 니네 사무실 가서 책상 뒤집어엎는다
[H] | 이커머스 | 36. 환불 안 해주면 가게 앞에서 행패 부린다
[H] | 이커머스 | 37. 찾아가서 사장 멱살 잡을 거야 기다려
[H] | 이커머스 | 38. 택배 또 분실하면 물류센터 불낸다
[H] | 이커머스 | 39. 상담원 너 퇴근시간 알아 기다릴 거야
[H] | 이커머스 | 40. 시발 교환도 환불도 안 된다고? 찾아간다 진짜
[H] | 이커머스 | 41. 대표이사 SNS 찾았어 집 주소도 알아낼 거다
[H] | 이커머스 | 42. 니네 매장 가서 진열대 다 쓸어버린다
[H] | 이커머스 | 43. 배송기사 다음에 만나면 멱살 잡는다
[H] | 이커머스 | 44. 본사 앞에서 트럭 몰고 갈 거야 각오해
[H] | 이커머스 | 45. 반품비 내라고? 물건 들고 가서 니 머리에 박는다
[H] | 이커머스 | 46. 고객센터 직원 이름 다 적었다 한 명씩 찾아간다
[H] | 이커머스 | 47. 창고 위치 알아냈어 밤에 찾아갈 거야
[H] | 이커머스 | 48. 기사가 물건 던지고 갔어 잡아서 패버린다
[H] | 이커머스 | 49. 이 회사 대표 목숨 걸어라 진짜
[H] | 이커머스 | 50. 니네 팝업스토어 가서 부숴버릴 거다
[H] | 이커머스 | 51. 환불 거절하면 사무실에 쥐약 뿌린다
[H] | 이커머스 | 52. 택배 분실 책임 안 지면 기사 차 박살낸다
[H] | 이커머스 | 53. 찾아가서 니 얼굴에 물건 던진다 기다려
[H] | 이커머스 | 54. 이 회사 폐업시켜버린다 물리적으로
[H] | 이커머스 | 55. 매장 직원 사진 찍었어 찾아간다
[H] | 이커머스 | 56. 시발 다음에 오배송하면 진짜 칼 가져간다
[H] | 이커머스 | 57. 본사 건물 앞에서 불 지른다 진짜로
[H] | 이커머스 | 58. 상담원 너 어디 사무실이야 지금 간다
[H] | 이커머스 | 59. 제품 불량이면 사장 얼굴에 던져버릴 거야
[H] | 이커머스 | 60. 택배 또 지연이야? 물류센터 가서 난리 칠 거다 피 본다
[M] | 이커머스 | 61. 이거 가만히 안 넘어간다 두고 봐
[M] | 이커머스 | 62. 후회하게 해줄게 진짜로
[M] | 이커머스 | 63. 끝까지 간다 각오해
[M] | 이커머스 | 64. 너네 회사 망하게 해줄게
[M] | 이커머스 | 65. 이 일 절대 안 잊는다 댓가를 치르게 해줄게
[M] | 이커머스 | 66. 가만 안 둔다 알겠어?
[M] | 이커머스 | 67. 끝장 보자 이거
[M] | 이커머스 | 68. 두고 봐라 반드시 후회하게 만든다
[M] | 이커머스 | 69. 이 회사 끝장낼 거야 기다려봐
[M] | 이커머스 | 70. 절대 이대로 안 끝나 알아둬
[M] | 이커머스 | 71. 너네한테 당한 거 반드시 갚아준다
[M] | 이커머스 | 72. 이 건으로 끝까지 가볼 거야 각오하세요
[M] | 이커머스 | 73. 가만히 있을 줄 알아? 큰코다친다
[M] | 이커머스 | 74. 이번엔 넘어가는데 다음엔 가만 안 둬
[M] | 이커머스 | 75. 택배 또 늦으면 너네 회사 끝이야
[M] | 이커머스 | 76. 환불 안 해주면 어떻게 되는지 보여줄게
[M] | 이커머스 | 77. 대응 안 하면 큰일 난다 알겠어?
[M] | 이커머스 | 78. 나 만만하게 보지 마 끝까지 간다
[M] | 이커머스 | 79. 이거 그냥 넘어가면 내가 바보지 반드시 갚는다
[M] | 이커머스 | 80. 배송 또 이러면 너네 회사 가만 안 놔둔다
[M] | 이커머스 | 81. 시발 이거 끝장 보자고 진짜
[M] | 이커머스 | 82. 가만두나 봐라 대가를 치르게 해줄게
